#Tesla P100-PCIE-16GB: cuda 6.0
#----------- absolute values ---------------
# 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 
0 425 426 316 317 317 317 317 317 317 317 317 317 425 425 317 317 317 317 317 317 317 317 317 317 426 426 317 317 317 317 317 317 317 317 317 317 426 426 317 317 317 317 317 317 425 426 317 317 317 317 317 317 317 317 317 317 
1 424 424 316 316 316 315 316 316 315 316 316 315 423 424 316 316 316 316 316 316 315 316 316 316 424 425 316 316 316 316 315 316 316 315 315 316 424 424 315 315 316 316 315 316 424 424 315 315 316 316 316 317 316 316 316 315 
2 326 314 423 423 315 316 315 316 315 315 316 316 316 316 423 423 316 316 315 315 316 315 316 316 316 316 423 423 316 315 316 315 316 316 315 316 316 316 423 423 315 315 315 316 316 315 423 423 315 316 316 316 316 315 316 316 
3 315 314 423 422 315 314 314 315 315 315 314 315 315 314 422 422 315 314 315 315 315 315 314 314 315 314 422 422 315 315 314 315 314 315 315 315 315 315 422 422 315 314 315 315 314 314 422 422 315 314 315 315 315 315 315 315 
4 309 298 298 298 396 396 300 300 300 299 300 300 300 300 300 300 396 396 300 299 299 300 299 300 300 300 299 300 396 396 299 300 300 300 299 299 299 299 299 299 396 396 300 299 299 300 300 300 397 396 299 299 300 300 299 300 
5 298 298 298 298 395 395 298 299 298 298 298 299 298 299 299 298 395 395 299 299 298 298 298 298 298 298 299 298 395 395 298 298 298 298 298 299 298 298 298 298 395 396 299 299 298 298 299 298 395 395 299 298 298 298 298 298 
6 326 314 314 314 315 314 424 424 316 316 316 316 316 316 316 316 316 316 424 423 316 316 316 316 316 316 316 316 316 316 423 424 316 316 316 316 316 316 316 316 316 316 424 424 316 316 316 316 316 316 316 316 423 424 316 316 
7 315 314 315 315 315 315 423 422 315 315 315 314 315 314 314 316 315 315 422 422 315 315 316 315 315 315 316 315 316 315 422 423 315 315 315 315 315 315 315 315 315 315 422 422 315 315 315 314 314 315 315 315 422 423 315 315 
8 327 315 315 315 315 315 315 315 425 425 317 317 317 317 317 317 317 317 317 317 425 425 316 317 317 317 317 316 317 317 317 317 425 425 316 317 317 317 317 317 317 317 317 317 317 317 316 317 317 317 425 425 317 317 317 317 
9 316 316 316 316 316 316 316 316 424 424 316 316 316 316 316 316 316 316 316 316 424 424 316 316 316 316 316 316 316 316 316 316 424 424 316 316 316 316 316 316 316 316 315 316 316 316 316 316 316 316 424 424 316 316 316 316 
10 309 298 298 298 299 298 298 298 298 298 395 395 299 300 300 299 300 300 300 300 300 300 395 395 299 300 300 299 300 299 299 300 300 300 395 395 299 299 299 300 300 299 300 300 299 299 300 300 300 300 299 299 300 299 395 395 
11 298 298 298 299 299 298 298 299 299 299 395 395 299 298 298 298 299 298 299 298 299 299 394 394 299 299 298 298 299 298 298 298 299 298 394 394 299 298 298 298 299 299 298 298 298 299 299 298 298 298 298 299 299 299 395 394 
12 423 423 314 315 314 314 315 315 314 315 315 315 423 423 315 315 315 314 315 315 314 315 315 315 422 423 314 315 314 314 315 315 315 314 315 315 423 423 314 315 315 315 315 315 423 424 315 315 315 315 315 315 315 315 315 315 
13 422 422 314 314 314 314 314 314 314 314 314 314 422 422 314 314 314 314 314 314 314 314 314 314 422 422 314 314 314 314 315 315 314 314 314 314 423 423 315 315 314 315 315 314 423 423 315 314 315 314 314 315 315 315 315 314 
14 326 314 424 424 315 316 315 315 315 315 315 315 315 315 423 424 315 315 315 316 315 316 315 315 315 315 424 424 315 315 315 315 315 316 315 315 316 315 424 424 315 316 315 315 315 315 424 424 315 315 315 315 316 315 315 315 
15 314 314 423 423 314 315 314 314 314 314 315 314 314 314 423 423 314 314 314 314 314 314 315 314 314 315 423 423 314 314 314 315 314 314 314 314 315 314 423 423 314 314 315 314 314 315 423 423 314 314 314 314 314 314 314 314 
16 308 297 297 297 397 396 299 298 299 299 299 299 298 299 299 298 396 396 299 299 299 299 299 299 299 299 299 299 397 396 299 299 299 299 299 299 299 299 299 299 396 397 299 299 299 298 299 299 397 396 299 299 299 299 299 299 
17 298 298 298 298 396 395 298 298 298 298 298 298 298 297 298 298 395 396 298 298 298 298 298 298 298 298 298 298 396 396 298 298 298 298 298 298 297 298 298 298 395 395 297 298 297 298 298 298 395 395 298 298 298 298 298 298 
